obtv-admin@tustin-obviu2:~/obview$ docker compose logs | grep ERROR
obview_db  | 2026-08-16 05:02:57.799 UTC [61] ERROR:  relation "activity_logs" already exists
obview_db  | 2026-08-16 05:02:57.800 UTC [61] ERROR:  relation "activity_logs_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.802 UTC [61] ERROR:  relation "api_sessions" already exists
obview_db  | 2026-08-16 05:02:57.802 UTC [61] ERROR:  relation "api_sessions_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.803 UTC [61] ERROR:  relation "approvals" already exists
obview_db  | 2026-08-16 05:02:57.803 UTC [61] ERROR:  relation "approvals_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.804 UTC [61] ERROR:  relation "comment_reactions" already exists
obview_db  | 2026-08-16 05:02:57.804 UTC [61] ERROR:  relation "comment_reactions_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.805 UTC [61] ERROR:  relation "comments" already exists
obview_db  | 2026-08-16 05:02:57.805 UTC [61] ERROR:  relation "comments_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.806 UTC [61] ERROR:  relation "comments_unified" already exists
obview_db  | 2026-08-16 05:02:57.807 UTC [61] ERROR:  relation "files" already exists
obview_db  | 2026-08-16 05:02:57.807 UTC [61] ERROR:  relation "files_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.808 UTC [61] ERROR:  relation "folders" already exists
obview_db  | 2026-08-16 05:02:57.808 UTC [61] ERROR:  relation "folders_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.809 UTC [61] ERROR:  relation "invitations" already exists
obview_db  | 2026-08-16 05:02:57.809 UTC [61] ERROR:  relation "invitations_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.810 UTC [61] ERROR:  relation "password_resets" already exists
obview_db  | 2026-08-16 05:02:57.810 UTC [61] ERROR:  relation "password_resets_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.811 UTC [61] ERROR:  relation "pg_session" already exists
obview_db  | 2026-08-16 05:02:57.811 UTC [61] ERROR:  relation "project_users" already exists
obview_db  | 2026-08-16 05:02:57.812 UTC [61] ERROR:  relation "project_users_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.812 UTC [61] ERROR:  relation "projects" already exists
obview_db  | 2026-08-16 05:02:57.813 UTC [61] ERROR:  relation "projects_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.813 UTC [61] ERROR:  relation "public_comments" already exists
obview_db  | 2026-08-16 05:02:57.814 UTC [61] ERROR:  relation "public_comments_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.814 UTC [61] ERROR:  relation "qc_reports" already exists
obview_db  | 2026-08-16 05:02:57.815 UTC [61] ERROR:  relation "qc_reports_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.815 UTC [61] ERROR:  relation "recent_projects" already exists
obview_db  | 2026-08-16 05:02:57.816 UTC [61] ERROR:  relation "schema_migrations" already exists
obview_db  | 2026-08-16 05:02:57.816 UTC [61] ERROR:  relation "session" already exists
obview_db  | 2026-08-16 05:02:57.816 UTC [61] ERROR:  relation "share_links" already exists
obview_db  | 2026-08-16 05:02:57.816 UTC [61] ERROR:  relation "transcripts" already exists
obview_db  | 2026-08-16 05:02:57.817 UTC [61] ERROR:  relation "transcripts_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.817 UTC [61] ERROR:  relation "users" already exists
obview_db  | 2026-08-16 05:02:57.818 UTC [61] ERROR:  relation "users_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.818 UTC [61] ERROR:  relation "video_processing" already exists
obview_db  | 2026-08-16 05:02:57.819 UTC [61] ERROR:  relation "video_processing_id_seq" already exists
obview_db  | 2026-08-16 05:02:57.932 UTC [61] ERROR:  insert or update on table "activity_logs" violates foreign key constraint "activity_logs_user_id_fkey"
obview_db  | 2026-08-16 05:02:57.933 UTC [61] ERROR:  insert or update on table "api_sessions" violates foreign key constraint "api_sessions_user_id_fkey"
obview_db  | 2026-08-16 05:02:57.936 UTC [61] ERROR:  insert or update on table "approvals" violates foreign key constraint "approvals_file_id_fkey"
obview_db  | 2026-08-16 05:02:57.939 UTC [61] ERROR:  insert or update on table "comment_reactions" violates foreign key constraint "fk_comment_reactions_comment_id"
obview_db  | 2026-08-16 05:02:57.976 UTC [61] ERROR:  insert or update on table "comments_unified" violates foreign key constraint "fk_comments_unified_file_id"
obview_db  | 2026-08-16 05:02:57.987 UTC [61] ERROR:  insert or update on table "files" violates foreign key constraint "files_project_id_fkey"
obview_db  | 2026-08-16 05:02:57.990 UTC [61] ERROR:  insert or update on table "folders" violates foreign key constraint "folders_created_by_id_fkey"
obview_db  | 2026-08-16 05:02:57.992 UTC [61] ERROR:  insert or update on table "invitations" violates foreign key constraint "invitations_created_by_id_fkey"
obview_db  | 2026-08-16 05:02:57.993 UTC [61] ERROR:  insert or update on table "password_resets" violates foreign key constraint "password_resets_user_id_fkey"
obview_db  | 2026-08-16 05:02:57.995 UTC [61] ERROR:  insert or update on table "project_users" violates foreign key constraint "project_users_project_id_fkey"
obview_db  | 2026-08-16 05:02:57.997 UTC [61] ERROR:  insert or update on table "projects" violates foreign key constraint "projects_created_by_id_fkey"
obview_db  | 2026-08-16 05:02:58.019 UTC [61] ERROR:  insert or update on table "qc_reports" violates foreign key constraint "qc_reports_file_id_fkey"
obview_db  | 2026-08-16 05:02:58.023 UTC [61] ERROR:  insert or update on table "recent_projects" violates foreign key constraint "recent_projects_project_id_fkey"
obview_db  | 2026-08-16 05:02:58.024 UTC [61] ERROR:  duplicate key value violates unique constraint "schema_migrations_pkey"
obview_db  | 2026-08-16 05:02:58.040 UTC [61] ERROR:  insert or update on table "share_links" violates foreign key constraint "share_links_created_by_id_fkey"
obview_db   | 2026-08-16 05:02:59.057 UTC [61] ERROR:  insert or update on table "transcripts" violates foreign key constraint "transcripts_file_id_fkey"
obview_db   | 2026-08-16 05:02:59.058 UTC [61] ERROR:  duplicate key value violates unique constraint "users_pkey"
