obview_db   | 2026-08-12 16:16:59.691 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 16:17:03.706 UTC [27] LOG:  checkpoint complete: wrote 41 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.013 s, sync=0.001 s, total=4.016 s; sync files=32, longest=0.001 s, average=0.001 s; distance=279 kB, estimate=308 kB; lsn=0/9122B0D8, redo lsn=0/91226D98
obview_db   | 2026-08-12 16:21:59.806 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 16:22:07.631 UTC [27] LOG:  checkpoint complete: wrote 79 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.822 s, sync=0.001 s, total=7.826 s; sync files=23, longest=0.001 s, average=0.001 s; distance=562 kB, estimate=562 kB; lsn=0/912BB560, redo lsn=0/912B3898
obview_db   | 2026-08-12 16:26:59.732 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 16:27:06.953 UTC [27] LOG:  checkpoint complete: wrote 73 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.219 s, sync=0.001 s, total=7.222 s; sync files=55, longest=0.001 s, average=0.001 s; distance=446 kB, estimate=551 kB; lsn=0/913294F0, redo lsn=0/91323420
obview_db   | 2026-08-12 16:32:00.053 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 16:32:07.983 UTC [27] LOG:  checkpoint complete: wrote 80 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.926 s, sync=0.001 s, total=7.930 s; sync files=57, longest=0.001 s, average=0.001 s; distance=522 kB, estimate=548 kB; lsn=0/913AA100, redo lsn=0/913A5F60
obview_db   | 2026-08-12 16:37:01.083 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 16:37:10.016 UTC [27] LOG:  checkpoint complete: wrote 90 buffers (0.5%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.930 s, sync=0.001 s, total=8.933 s; sync files=38, longest=0.001 s, average=0.001 s; distance=454 kB, estimate=538 kB; lsn=0/9141B930, redo lsn=0/91417A08
obview_db   | 2026-08-12 16:42:01.116 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 16:42:04.530 UTC [27] LOG:  checkpoint complete: wrote 36 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.411 s, sync=0.001 s, total=3.415 s; sync files=19, longest=0.001 s, average=0.001 s; distance=200 kB, estimate=505 kB; lsn=0/9144DF48, redo lsn=0/91449CA0
obview_db   | 2026-08-12 16:47:01.630 UTC [27] LOG:  checkpoint starting: time
obview_db   | 2026-08-12 16:47:05.846 UTC [27] LOG:  checkpoint complete: wrote 43 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.213 s, sync=0.001 s, total=4.216 s; sync files=29, longest=0.001 s, average=0.001 s; distance=271 kB, estimate=481 kB; lsn=0/91492670, redo lsn=0/9148DB78
obview_db   | 2026-08-12 16:52:01.947 UTC [27] LOG:  checkpoint starting: time
